protein	scaffold	AMG KO	AMG KO name	Pfam	Pfam name
metaspades_NG-13040_GEND1_lib194753_5429_NODE_44_length_14797_cov_4.59748_22	metaspades_NG-13040_GEND1_lib194753_5429_NODE_44_length_14797_cov_4.59748	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_GEND1_lib194753_5429_NODE_44_length_14797_cov_4.59748_24	metaspades_NG-13040_GEND1_lib194753_5429_NODE_44_length_14797_cov_4.59748	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-14069_GD_lib221227_5627_NODE_6000_length_4848_cov_6.78343_4	metaspades_NG-14069_GD_lib221227_5627_NODE_6000_length_4848_cov_6.78343	K00820	"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"	PF01380.22	SIS domain
metaspades_NG-14069_GD_lib221227_5627_NODE_6000_length_4848_cov_6.78343_5	metaspades_NG-14069_GD_lib221227_5627_NODE_6000_length_4848_cov_6.78343	K00820	"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"	PF01380.22	SIS domain
metaspades_NG-14069_922T8_lib221223_5627_NODE_8441_length_4022_cov_3.85405_6	metaspades_NG-14069_922T8_lib221223_5627_NODE_8441_length_4022_cov_3.85405	K16055	TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]		
metaspades_NG-14069_922T8_lib221223_5627_NODE_10134_length_3535_cov_11.8411_1	metaspades_NG-14069_922T8_lib221223_5627_NODE_10134_length_3535_cov_11.8411	K00640	cysE; serine O-acetyltransferase [EC:2.3.1.30]		
metaspades_NG-14069_925T8_lib221226_5627_NODE_11814_length_3844_cov_4.71681_1	metaspades_NG-14069_925T8_lib221226_5627_NODE_11814_length_3844_cov_4.71681	K00278	nadB; L-aspartate oxidase [EC:1.4.3.16]	PF00890.24	FAD binding domain
metaspades_NG-13376_916T8_lib202078_5478_NODE_173_length_7423_cov_184.626_4	metaspades_NG-13376_916T8_lib202078_5478_NODE_173_length_7423_cov_184.626	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13376_916T8_lib202078_5478_NODE_173_length_7423_cov_184.626_6	metaspades_NG-13376_916T8_lib202078_5478_NODE_173_length_7423_cov_184.626	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_917T8_lib221218_5627_NODE_4435_length_4095_cov_7.50099_5	metaspades_NG-14069_917T8_lib221218_5627_NODE_4435_length_4095_cov_7.50099	K21681	bcs1; ribitol-5-phosphate 2-dehydrogenase (NADP+) / D-ribitol-5-phosphate cytidylyltransferase [EC:1.1.1.405 2.7.7.40]	PF01128.19	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
metaspades_NG-13040_921T1L_lib194731_5429_NODE_504_length_11537_cov_12.3114_4	metaspades_NG-13040_921T1L_lib194731_5429_NODE_504_length_11537_cov_12.3114	K04486	E3.1.3.15B; histidinol-phosphatase (PHP family) [EC:3.1.3.15]		
metaspades_NG-13376_921T6_lib202116_5478_NODE_19_length_26349_cov_5.53043_4	metaspades_NG-13376_921T6_lib202116_5478_NODE_19_length_26349_cov_5.53043	K07260	vanY; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	PF02557.17	D-alanyl-D-alanine carboxypeptidase
metaspades_NG-13040_919T2L_lib194749_5429_NODE_852_length_3837_cov_3.11449_3	metaspades_NG-13040_919T2L_lib194749_5429_NODE_852_length_3837_cov_3.11449	K00973	"E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]"		
metaspades_NG-14069_925T8_lib221226_5627_NODE_10590_length_4183_cov_7.55935_3	metaspades_NG-14069_925T8_lib221226_5627_NODE_10590_length_4183_cov_7.55935	K01006	"ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"	PF02896.18	"PEP-utilising enzyme, TIM barrel domain"
metaspades_NG-14069_919T8_lib221220_5627_NODE_8208_length_6171_cov_4.14503_4	metaspades_NG-14069_919T8_lib221220_5627_NODE_8208_length_6171_cov_4.14503	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-13040_925T3L_lib194729_5429_NODE_3643_length_4078_cov_5.97663_1	metaspades_NG-13040_925T3L_lib194729_5429_NODE_3643_length_4078_cov_5.97663	K21064	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	PF08282.12	haloacid dehalogenase-like hydrolase
metaspades_NG-15813_GD3_lib254042_5916_NODE_27_length_41591_cov_13.1885_9	metaspades_NG-15813_GD3_lib254042_5916_NODE_27_length_41591_cov_13.1885	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"		
metaspades_NG-14069_919T8_lib221220_5627_NODE_841_length_47457_cov_17.0882_8	metaspades_NG-14069_919T8_lib221220_5627_NODE_841_length_47457_cov_17.0882	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_922T8_lib221223_5627_NODE_10363_length_3473_cov_5.56085_1	metaspades_NG-14069_922T8_lib221223_5627_NODE_10363_length_3473_cov_5.56085	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13376_921T3_lib202033_5478_NODE_371_length_4863_cov_4.25166_2	metaspades_NG-13376_921T3_lib202033_5478_NODE_371_length_4863_cov_4.25166	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_919T8_lib221220_5627_NODE_5747_length_8504_cov_12.0499_4	metaspades_NG-14069_919T8_lib221220_5627_NODE_5747_length_8504_cov_12.0499	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_919T8_lib221220_5627_NODE_5747_length_8504_cov_12.0499_8	metaspades_NG-14069_919T8_lib221220_5627_NODE_5747_length_8504_cov_12.0499	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF02773.16	"S-adenosylmethionine synthetase, C-terminal domain"
metaspades_NG-13040_918T3L_lib194736_5429_NODE_146_length_9807_cov_3.51907_7	metaspades_NG-13040_918T3L_lib194736_5429_NODE_146_length_9807_cov_3.51907	K01874	"MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]"	PF09334.11	tRNA synthetases class I (M)
metaspades_NG-14069_924T8_lib221225_5627_NODE_1016_length_5240_cov_4.49894_3	metaspades_NG-14069_924T8_lib221225_5627_NODE_1016_length_5240_cov_4.49894	K01929	murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	PF08245.12	Mur ligase middle domain
metaspades_NG-14069_925T8_lib221226_5627_NODE_13381_length_3504_cov_4.59496_3	metaspades_NG-14069_925T8_lib221226_5627_NODE_13381_length_3504_cov_4.59496	K08281	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]	PF00857.20	Isochorismatase family
metaspades_NG-14069_925T8_lib221226_5627_NODE_13381_length_3504_cov_4.59496_4	metaspades_NG-14069_925T8_lib221226_5627_NODE_13381_length_3504_cov_4.59496	K00763	"pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]"	PF17767.1	Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain
metaspades_NG-15813_GD3A_lib254057_5916_NODE_389_length_8486_cov_6.46554_11	metaspades_NG-15813_GD3A_lib254057_5916_NODE_389_length_8486_cov_6.46554	K06920	queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	PF06508.13	Queuosine biosynthesis protein QueC
metaspades_NG-14069_923T8_lib221224_5627_NODE_1374_length_16076_cov_5.83384_13	metaspades_NG-14069_923T8_lib221224_5627_NODE_1374_length_16076_cov_5.83384	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_916T8_lib219930_5627_NODE_6957_length_3275_cov_3.33075_3	metaspades_NG-14069_916T8_lib219930_5627_NODE_6957_length_3275_cov_3.33075	K10012	"arnC, pmrF; undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]"	PF00535.26	Glycosyl transferase family 2
metaspades_NG-14069_919T8_lib221220_5627_NODE_7317_length_6857_cov_3.79712_8	metaspades_NG-14069_919T8_lib221220_5627_NODE_7317_length_6857_cov_3.79712	K01843	"kamA; lysine 2,3-aminomutase [EC:5.4.3.2]"		
metaspades_NG-14069_923T8_lib221224_5627_NODE_11498_length_3576_cov_6.63079_6	metaspades_NG-14069_923T8_lib221224_5627_NODE_11498_length_3576_cov_6.63079	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_925T8_lib221226_5627_NODE_619_length_40245_cov_11.5762_3	metaspades_NG-14069_925T8_lib221226_5627_NODE_619_length_40245_cov_11.5762	K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	PF12831.7	FAD dependent oxidoreductase
metaspades_NG-14069_922T8_lib221223_5627_NODE_3795_length_6854_cov_4.46933_6	metaspades_NG-14069_922T8_lib221223_5627_NODE_3795_length_6854_cov_4.46933	K00324	pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]	PF02233.16	NAD(P) transhydrogenase beta subunit
metaspades_NG-13040_921T1L_lib194731_5429_NODE_378_length_13810_cov_6.73341_14	metaspades_NG-13040_921T1L_lib194731_5429_NODE_378_length_13810_cov_6.73341	K07258	"dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"	PF00768.20	D-alanyl-D-alanine carboxypeptidase
metaspades_NG-13376_923T12_lib202035_5478_NODE_2_length_95552_cov_17.028_78	metaspades_NG-13376_923T12_lib202035_5478_NODE_2_length_95552_cov_17.028	K21029	moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	PF00899.21	ThiF family
metaspades_NG-13376_923T12_lib202035_5478_NODE_2_length_95552_cov_17.028_96	metaspades_NG-13376_923T12_lib202035_5478_NODE_2_length_95552_cov_17.028	K03462	NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]	PF04095.16	Nicotinate phosphoribosyltransferase (NAPRTase) family
metaspades_NG-13040_916T1L_lib194711_5429_NODE_420_length_4622_cov_3.33633_17	metaspades_NG-13040_916T1L_lib194711_5429_NODE_420_length_4622_cov_3.33633	K01733	thrC; threonine synthase [EC:4.2.3.1]		
metaspades_NG-14069_GD_lib221227_5627_NODE_383_length_30599_cov_8.7776_22	metaspades_NG-14069_GD_lib221227_5627_NODE_383_length_30599_cov_8.7776	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_918T8_lib221219_5627_NODE_3674_length_4111_cov_4.10873_1	metaspades_NG-14069_918T8_lib221219_5627_NODE_3674_length_4111_cov_4.10873	K02434	"gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]"	PF02934.15	GatB/GatE catalytic domain
metaspades_NG-14069_917T8_lib221218_5627_NODE_35_length_88475_cov_23.1078_53	metaspades_NG-14069_917T8_lib221218_5627_NODE_35_length_88475_cov_23.1078	K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_917T8_lib221218_5627_NODE_35_length_88475_cov_23.1078_118	metaspades_NG-14069_917T8_lib221218_5627_NODE_35_length_88475_cov_23.1078	K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_917T8_lib221218_5627_NODE_35_length_88475_cov_23.1078_131	metaspades_NG-14069_917T8_lib221218_5627_NODE_35_length_88475_cov_23.1078	K19005	ltaS; lipoteichoic acid synthase [EC:2.7.8.20]	PF00884.23	Sulfatase
metaspades_NG-14069_917T8_lib221218_5627_NODE_35_length_88475_cov_23.1078_132	metaspades_NG-14069_917T8_lib221218_5627_NODE_35_length_88475_cov_23.1078	K01207	nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]	PF00933.21	Glycosyl hydrolase family 3 N terminal domain
metaspades_NG-15813_GD3A_lib254057_5916_NODE_816_length_4193_cov_3.98598_6	metaspades_NG-15813_GD3A_lib254057_5916_NODE_816_length_4193_cov_3.98598	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	PF00106.25	short chain dehydrogenase
metaspades_NG-14069_918T8_lib221219_5627_NODE_2558_length_5277_cov_7.11681_2	metaspades_NG-14069_918T8_lib221219_5627_NODE_2558_length_5277_cov_7.11681	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]		
metaspades_NG-14069_923T8_lib221224_5627_NODE_5919_length_5770_cov_3.83605_2	metaspades_NG-14069_923T8_lib221224_5627_NODE_5919_length_5770_cov_3.83605	K03462	NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]	PF04095.16	Nicotinate phosphoribosyltransferase (NAPRTase) family
metaspades_NG-14069_923T8_lib221224_5627_NODE_5919_length_5770_cov_3.83605_4	metaspades_NG-14069_923T8_lib221224_5627_NODE_5919_length_5770_cov_3.83605	K01916	nadE; NAD+ synthase [EC:6.3.1.5]	PF02540.17	NAD synthase
metaspades_NG-13040_916T4L_lib194746_5429_NODE_556_length_12811_cov_4.14378_7	metaspades_NG-13040_916T4L_lib194746_5429_NODE_556_length_12811_cov_4.14378	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF02773.16	"S-adenosylmethionine synthetase, C-terminal domain"
metaspades_NG-14069_917T8_lib221218_5627_NODE_4932_length_3761_cov_3.51295_9	metaspades_NG-14069_917T8_lib221218_5627_NODE_4932_length_3761_cov_3.51295	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_925T8_lib221226_5627_NODE_1106_length_24670_cov_17.1349_14	metaspades_NG-14069_925T8_lib221226_5627_NODE_1106_length_24670_cov_17.1349	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_925T8_lib221226_5627_NODE_1106_length_24670_cov_17.1349_15	metaspades_NG-14069_925T8_lib221226_5627_NODE_1106_length_24670_cov_17.1349	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_918T8_lib221219_5627_NODE_2709_length_5056_cov_3.39532_9	metaspades_NG-14069_918T8_lib221219_5627_NODE_2709_length_5056_cov_3.39532	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_919T8_lib221220_5627_NODE_5138_length_9456_cov_3.61664_2	metaspades_NG-14069_919T8_lib221220_5627_NODE_5138_length_9456_cov_3.61664	K01897	"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"	PF00501.28	AMP-binding enzyme
metaspades_NG-14069_919T8_lib221220_5627_NODE_2716_length_17622_cov_4.88325_1	metaspades_NG-14069_919T8_lib221220_5627_NODE_2716_length_17622_cov_4.88325	K09882	cobS; cobaltochelatase CobS [EC:6.6.1.2]		
metaspades_NG-14069_925T8_lib221226_5627_NODE_728_length_35096_cov_13.08_43	metaspades_NG-14069_925T8_lib221226_5627_NODE_728_length_35096_cov_13.08	K07260	vanY; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	PF02557.17	D-alanyl-D-alanine carboxypeptidase
metaspades_NG-14069_925T8_lib221226_5627_NODE_435_length_52051_cov_9.84126_34	metaspades_NG-14069_925T8_lib221226_5627_NODE_435_length_52051_cov_9.84126	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_925T8_lib221226_5627_NODE_435_length_52051_cov_9.84126_39	metaspades_NG-14069_925T8_lib221226_5627_NODE_435_length_52051_cov_9.84126	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF02773.16	"S-adenosylmethionine synthetase, C-terminal domain"
metaspades_NG-13040_916T4L_lib194746_5429_NODE_1161_length_8347_cov_4.19115_1	metaspades_NG-13040_916T4L_lib194746_5429_NODE_1161_length_8347_cov_4.19115	K12452	"ascC, ddhC, rfbH; CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]"	PF01041.17	DegT/DnrJ/EryC1/StrS aminotransferase family
metaspades_NG-13040_916T4L_lib194746_5429_NODE_1161_length_8347_cov_4.19115_2	metaspades_NG-13040_916T4L_lib194746_5429_NODE_1161_length_8347_cov_4.19115	K01652	"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"	PF02776.18	"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain"
metaspades_NG-14069_918T8_lib221219_5627_NODE_327_length_44491_cov_42.1822_57	metaspades_NG-14069_918T8_lib221219_5627_NODE_327_length_44491_cov_42.1822	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"	PF00266.19	Aminotransferase class-V
metaspades_NG-14069_919T8_lib221220_5627_NODE_16108_length_3442_cov_2.87393_3	metaspades_NG-14069_919T8_lib221220_5627_NODE_16108_length_3442_cov_2.87393	K01874	"MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]"	PF09334.11	tRNA synthetases class I (M)
metaspades_NG-14069_925T8_lib221226_5627_NODE_8276_length_5020_cov_3.72467_3	metaspades_NG-14069_925T8_lib221226_5627_NODE_8276_length_5020_cov_3.72467	K05343	treS; maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]	PF00128.24	"Alpha amylase, catalytic domain"
metaspades_NG-14069_919T8_lib221220_5627_NODE_10673_length_4897_cov_22.6729_7	metaspades_NG-14069_919T8_lib221220_5627_NODE_10673_length_4897_cov_22.6729	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF02773.16	"S-adenosylmethionine synthetase, C-terminal domain"
metaspades_NG-14069_918T8_lib221219_5627_NODE_2131_length_5965_cov_4.41201_1	metaspades_NG-14069_918T8_lib221219_5627_NODE_2131_length_5965_cov_4.41201	K08281	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]	PF00857.20	Isochorismatase family
metaspades_NG-14069_923T8_lib221224_5627_NODE_12179_length_3433_cov_4.29692_4	metaspades_NG-14069_923T8_lib221224_5627_NODE_12179_length_3433_cov_4.29692	K01755	"argH, ASL; argininosuccinate lyase [EC:4.3.2.1]"	PF00206.20	Lyase
metaspades_NG-14069_920T8_lib221221_5627_NODE_1112_length_11121_cov_14.7961_12	metaspades_NG-14069_920T8_lib221221_5627_NODE_1112_length_11121_cov_14.7961	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"	PF12706.7	Beta-lactamase superfamily domain
metaspades_NG-13040_920T4L_lib194722_5429_NODE_131_length_6327_cov_5.18543_1	metaspades_NG-13040_920T4L_lib194722_5429_NODE_131_length_6327_cov_5.18543	K03462	NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]	PF18127.1	Domain of unknown function (DUF5598)
metaspades_NG-13040_920T4L_lib194722_5429_NODE_131_length_6327_cov_5.18543_3	metaspades_NG-13040_920T4L_lib194722_5429_NODE_131_length_6327_cov_5.18543	K08281	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]	PF00857.20	Isochorismatase family
metaspades_NG-13040_920T4L_lib194722_5429_NODE_131_length_6327_cov_5.18543_6	metaspades_NG-13040_920T4L_lib194722_5429_NODE_131_length_6327_cov_5.18543	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_919T8_lib221220_5627_NODE_14140_length_3852_cov_16.0666_5	metaspades_NG-14069_919T8_lib221220_5627_NODE_14140_length_3852_cov_16.0666	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_919T8_lib221220_5627_NODE_2695_length_17766_cov_28.5092_12	metaspades_NG-14069_919T8_lib221220_5627_NODE_2695_length_17766_cov_28.5092	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_GD_lib221227_5627_NODE_10659_length_3070_cov_6.04511_1	metaspades_NG-14069_GD_lib221227_5627_NODE_10659_length_3070_cov_6.04511	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_GD_lib221227_5627_NODE_10659_length_3070_cov_6.04511_3	metaspades_NG-14069_GD_lib221227_5627_NODE_10659_length_3070_cov_6.04511	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF00438.20	"S-adenosylmethionine synthetase, N-terminal domain"
metaspades_NG-15813_GD3A_lib254057_5916_NODE_521_length_6482_cov_3.78186_5	metaspades_NG-15813_GD3A_lib254057_5916_NODE_521_length_6482_cov_3.78186	K13065	"E2.3.1.133, HCT; shikimate O-hydroxycinnamoyltransferase [EC:2.3.1.133]"		
metaspades_NG-13040_925T2L_lib194034_5429_NODE_1_length_180851_cov_16.3788_25	metaspades_NG-13040_925T2L_lib194034_5429_NODE_1_length_180851_cov_16.3788	K00969	nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]		
metaspades_NG-13040_925T2L_lib194034_5429_NODE_1_length_180851_cov_16.3788_28	metaspades_NG-13040_925T2L_lib194034_5429_NODE_1_length_180851_cov_16.3788	K01916	nadE; NAD+ synthase [EC:6.3.1.5]	PF02540.17	NAD synthase
metaspades_NG-13040_925T2L_lib194034_5429_NODE_1_length_180851_cov_16.3788_29	metaspades_NG-13040_925T2L_lib194034_5429_NODE_1_length_180851_cov_16.3788	K00763	"pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]"	PF04095.16	Nicotinate phosphoribosyltransferase (NAPRTase) family
metaspades_NG-13040_925T2L_lib194034_5429_NODE_1_length_180851_cov_16.3788_31	metaspades_NG-13040_925T2L_lib194034_5429_NODE_1_length_180851_cov_16.3788	K08281	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]		
metaspades_NG-13040_925T2L_lib194034_5429_NODE_1_length_180851_cov_16.3788_126	metaspades_NG-13040_925T2L_lib194034_5429_NODE_1_length_180851_cov_16.3788	K01939	"purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]"	PF00709.21	Adenylosuccinate synthetase
metaspades_NG-13040_917T3L_lib194709_5429_NODE_635_length_4145_cov_2.78631_4	metaspades_NG-13040_917T3L_lib194709_5429_NODE_635_length_4145_cov_2.78631	K19005	ltaS; lipoteichoic acid synthase [EC:2.7.8.20]	PF00884.23	Sulfatase
