mobile_contig_name	mobile_contig_length (bp)	mobile_contig_read_count (reads)	mobile_contig_read_depth (reads/kbp)	mobile_contig_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
VIVO4-FEC-AUG11-F9-k141_13268	46957	3016	64.22897544562046	40.66046715262728	VIVO4-FEC-AUG11-F9-bin_5	4305638	426483	99.05221943879165	59458	0.006498215693166962	1061	0.005247803051413704	0.8075760022758095	0.4104952658607818	0.0127840769135532	1.9673211104697526
VIVO4-FEC-AUG11-F9-k141_15204	21294	107	5.024889640274256	2.293971357516508	VIVO4-FEC-AUG11-F9-bin_3	4460647	29354	6.580659711472349	3253	0.00033034869261410523	21	0.00022108750006122465	0.6692549569720461	0.3485929159225979	0.0006342283218122403	1.9198753801429758
VIVO4-FEC-AUG11-F9-k141_19604	24848	1897	76.34417256922086	50.954886541581594	VIVO4-FEC-AUG11-F9-bin_5	4305638	426483	99.05221943879165	59458	0.006498215693166962	578	0.005402551141388837	0.8313899378670603	0.5144244806454707	0.01050212683231953	1.6161554691640632
VIVO4-FEC-AUG11-F9-k141_1589	15284	197	12.889295995812615	7.241177525737425	VIVO4-FEC-AUG11-F9-bin_7	3923951	48594	12.383946690465809	5430	0.000718197873367554	50	0.0008336992288627152	1.160821077001506	0.58472292450292	0.0014258021943836954	1.9852498138128138
VIVO4-FEC-AUG11-F9-k141_12058	5454	241	44.18775210854419	30.09890361016778	VIVO4-FEC-AUG11-F9-bin_7	3923951	48594	12.383946690465809	5430	0.000718197873367554	47	0.0021961355836269663	3.057841947274946	2.430477485286691	0.0009035819491937888	1.2581239553898822
VIVO4-FEC-AUG11-F9-k141_378	23150	596	25.7451403887689	8.389585549573946	VIVO4-FEC-AUG11-F9-bin_13	2260378	56691	25.080318424617474	5370	0.0021281427310092336	131	0.00250345176789722	1.1763551999681914	0.3345087334034478	0.007483965343523127	3.516665134567356
VIVO4-FEC-AUG11-F9-k141_2109	5915	596	100.76077768385461	49.83078460001538	VIVO4-FEC-AUG11-F9-bin_12	2458287	462328	188.06917174438948	39729	0.013374603718659391	136	0.009353013795037541	0.6993114705887559	0.2649598769315681	0.03529973633499675	2.639310822028231
VIVO4-FEC-AUG11-F9-k141_17627	5834	28	4.799451491258142	3.6918857625062635	VIVO4-FEC-AUG11-F9-bin_7	3923951	48594	12.383946690465809	5430	0.000718197873367554	10	0.0004368275287602927	0.6082272657144674	0.2981186736978272	0.0014652806660580434	2.0402186088180643
VIVO4-FEC-AUG11-F9-k141_17283	6176	37	5.990932642487047	4.279237601776462	VIVO4-FEC-AUG11-F9-bin_3	4460647	29354	6.580659711472349	3253	0.00033034869261410523	15	0.0005444852454551857	1.6482137136568686	0.6502748644358987	0.0008373155341434219	2.5346415858879356
VIVO4-FEC-AUG11-F9-k141_10054	9271	1791	193.18304390033438	83.59824615484013	VIVO4-FEC-AUG11-F9-bin_12	2458287	462328	188.06917174438948	39729	0.013374603718659391	341	0.014962191653763513	1.1187016803263652	0.44450797214368043	0.03366011993352329	2.5167190476502004
VIVO4-FEC-AUG11-F9-k141_9001	10552	225	21.322971948445794	6.582930937104071	VIVO4-FEC-AUG11-F9-bin_13	2260378	56691	25.080318424617474	5370	0.0021281427310092336	46	0.001928599178502212	0.9062358226262429	0.26247397762871405	0.007347772895149007	3.4526692162533936
VIVO4-FEC-AUG11-F9-k141_9622	17458	165	9.45125443922557	5.57778950511673	VIVO4-FEC-AUG11-F9-bin_7	3923951	48594	12.383946690465809	5430	0.000718197873367554	36	0.0005255141763108701	0.7317122422638063	0.45040483817739424	0.0011667596166093884	1.6245656801217967
VIVO4-FEC-AUG11-F9-k141_23964	7579	1491	196.72780050138542	95.35095195472555	VIVO4-FEC-AUG11-F9-bin_12	2458287	462328	188.06917174438948	39729	0.013374603718659391	269	0.014438024965235849	1.0795104863625111	0.5069993719349172	0.028477402072776607	2.129214642303514
VIVO4-FEC-AUG11-F9-k141_10515	7864	3014	383.265513733469	171.6160559470513	VIVO4-FEC-AUG11-F9-bin_12	2458287	462328	188.06917174438948	39729	0.013374603718659391	553	0.028605466981422065	2.138789872444112	0.9125156151604682	0.0313479205245071	2.343839203308318
VIVO4-FEC-AUG11-F9-k141_12806	13847	749	54.091138874846536	31.842855533007345	VIVO4-FEC-AUG11-F9-bin_5	4305638	426483	99.05221943879165	59458	0.006498215693166962	229	0.003840982042794628	0.5910825716101602	0.32147543703131587	0.011947979846499023	1.8386554726188338
VIVO4-FEC-AUG11-F9-k141_2539	7911	42	5.309063329541146	3.378494846071638	VIVO4-FEC-AUG11-F9-bin_3	4460647	29354	6.580659711472349	3253	0.00033034869261410523	7	0.00019836671412395052	0.6004767645793936	0.5133975914575497	0.0003863802975015563	1.1696135209256118
VIVO4-FEC-AUG11-F9-k141_19232	6993	1971	281.8532818532818	153.25772200772198	VIVO4-FEC-AUG11-F9-bin_12	2458287	462328	188.06917174438948	39729	0.013374603718659391	348	0.020243384830188567	1.513568944248142	0.81490081859891	0.02484153208361453	1.8573658409749527
VIVO4-FEC-AUG11-F9-k141_4713	12873	1034	80.3231569952614	51.165710825951855	VIVO4-FEC-AUG11-F9-bin_5	4305638	426483	99.05221943879165	59458	0.006498215693166962	365	0.006585300263372639	1.0134013049608754	0.5165528961980423	0.012748549687441664	1.9618538825738097
VIVO4-FEC-AUG11-F9-k141_4576	27873	170	6.099092311555986	3.696419582761204	VIVO4-FEC-AUG11-F9-bin_7	3923951	48594	12.383946690465809	5430	0.000718197873367554	40	0.0003657233599235888	0.5092236742622901	0.29848477833056364	0.0012252663669118842	1.706028954341983
VIVO4-FEC-AUG11-F9-k141_6489	9297	11877	1277.508873830268	746.7257124732319	VIVO4-FEC-AUG11-F9-bin_1	8350324	35496127	4250.8682297836585	5798131	0.1676651902756774	4115	0.05300583517494373	0.31614096574125383	0.1756642812970082	0.30174509458370175	1.7996883794875271
VIVO4-FEC-AUG11-F9-k141_578	6374	1024	160.65265139629747	79.66970723195134	VIVO4-FEC-AUG11-F9-bin_12	2458287	462328	188.06917174438948	39729	0.013374603718659391	182	0.011615201393496286	0.8684520033510601	0.4236191742271979	0.027418969914866868	2.0500771829683204
VIVO4-FEC-AUG11-F9-k141_24203	14884	79	5.307712980381618	2.322124428916958	VIVO4-FEC-AUG11-F9-bin_3	4460647	29354	6.580659711472349	3253	0.00033034869261410523	14	0.0002108679219879834	0.6383192266309571	0.35287106927420936	0.0005975778133971135	1.8089304627434089
VIVO4-FEC-AUG11-F9-k141_13548	5468	363	66.38624725676664	32.09401357446334	VIVO4-FEC-AUG11-F9-bin_17	1508546	94550	62.67624586853832	9289	0.00820111580386839	73	0.00884984769499403	1.0791028814420154	0.5120602411602577	0.017282825307705005	2.1073748647169275
VIVO4-FEC-AUG11-F9-k141_692	5626	213	37.85993601137576	14.149673054756597	VIVO4-FEC-AUG11-F9-bin_17	1508546	94550	62.67624586853832	9289	0.00820111580386839	37	0.004359567824192989	0.531582278369563	0.22575814582824796	0.019310788579516666	2.3546538106934114
VIVO4-FEC-AUG11-F9-k141_21194	13036	325	24.930960417305922	9.002846817360473	VIVO4-FEC-AUG11-F9-bin_13	2260378	56691	25.080318424617474	5370	0.0021281427310092336	78	0.002647092875684253	1.2438511933966556	0.3589606266132478	0.007374326540097921	3.4651465959713983
VIVO4-FEC-AUG11-F9-k141_7543	5667	36	6.352567496029645	3.363123968486283	VIVO4-FEC-AUG11-F9-bin_3	4460647	29354	6.580659711472349	3253	0.00033034869261410523	9	0.00035603397310018286	1.0777520270560954	0.5110618260085996	0.0006966553848891697	2.1088486210628457
VIVO4-FEC-AUG11-F9-k141_15220	10678	133	12.455516014234876	6.45841571108475	VIVO4-FEC-AUG11-F9-bin_7	3923951	48594	12.383946690465809	5430	0.000718197873367554	28	0.0006682585734973902	0.9304658204625368	0.5215151415385997	0.0012813790440021758	1.784158783419846
VIVO4-FEC-AUG11-F9-k141_2017	6294	647	102.79631394979346	22.698678460995	VIVO4-FEC-AUG11-F9-bin_11	2673118	355370	132.94212975259603	27188	0.007626011688902076	87	0.005170998165642963	0.6780737266857555	0.17074104727551012	0.030285618181192065	3.9713574298956145
VIVO4-FEC-AUG11-F9-k141_21523	35624	3192	89.60251515832023	58.22801744938865	VIVO4-FEC-AUG11-F9-bin_5	4305638	426483	99.05221943879165	59458	0.006498215693166962	1069	0.006969434000199443	1.0725150301686628	0.5878517188135303	0.011855768686474123	1.824465244965747
VIVO4-FEC-AUG11-F9-k141_14642	15497	1178	76.01471252500484	46.35874844574286	VIVO4-FEC-AUG11-F9-bin_17	1508546	94550	62.67624586853832	9289	0.00820111580386839	272	0.011634901565016863	1.4186973874370592	0.7396541991838351	0.015730190645649404	1.918054935674682
VIVO4-FEC-AUG11-F9-k141_24026	5892	366	62.11812627291243	37.510945816976104	VIVO4-FEC-AUG11-F9-bin_5	4305638	426483	99.05221943879165	59458	0.006498215693166962	125	0.004927308580150238	0.7582556216672566	0.3786986907462041	0.013011158212459774	2.0022662876736046
VIVO4-FEC-AUG11-F9-k141_1040	12746	1659	130.15848109210734	22.841181918670646	VIVO4-FEC-AUG11-F9-bin_11	2673118	355370	132.94212975259603	27188	0.007626011688902076	189	0.005547148083339409	0.7273983190206776	0.17181296825301245	0.03228596851414997	4.233663654244701
VIVO4-FEC-AUG11-F9-k141_17966	5820	1010	173.53951890034364	85.24748296858985	VIVO4-FEC-AUG11-F9-bin_12	2458287	462328	188.06917174438948	39729	0.013374603718659391	140	0.009785262183735835	0.731630064678781	0.45327728185272326	0.021587806350540233	1.6140894193689124
VIVO4-FEC-AUG11-F9-k141_387	6421	112	17.442765924310855	8.277922811537355	VIVO4-FEC-AUG11-F9-bin_7	3923951	48594	12.383946690465809	5430	0.000718197873367554	28	0.00111130120663528	1.5473468355239008	0.6684397969760631	0.0016625299864889338	2.314863421543573
VIVO4-FEC-AUG11-F9-k141_2041	14319	3643	254.41720790558	125.35869268914806	VIVO4-FEC-AUG11-F9-bin_12	2458287	462328	188.06917174438948	39729	0.013374603718659391	576	0.016363538018308	1.223478344668907	0.6665563075883956	0.024549370896378393	1.83552136667262
VIVO4-FEC-AUG11-F9-k141_24304	38368	7162	186.66597164303587	89.89069631929934	VIVO4-FEC-AUG11-F9-bin_17	1508546	94550	62.67624586853832	9289	0.00820111580386839	1149	0.019851453447388104	2.420579579918181	1.4342067728153753	0.013841416609976901	1.6877479773481594
VIVO4-FEC-AUG11-F9-k141_7981	58095	87513	1506.3774851536277	874.4474930857723	VIVO4-FEC-AUG11-F9-bin_1	8350324	35496127	4250.8682297836585	5798131	0.1676651902756774	26401	0.054422475715159006	0.32459018849217797	0.20571032688309795	0.26455879264674187	1.5778993374340298
VIVO4-FEC-AUG11-F9-k141_11611	108402	585	5.39657939890408	3.287831986727275	VIVO4-FEC-AUG11-F9-bin_3	4460647	29354	6.580659711472349	3253	0.00033034869261410523	145	0.0002998698837106498	0.907737461703658	0.49962042270556173	0.0006001954085199002	1.8168541966079905
VIVO4-FEC-AUG11-F9-k141_24497	71322	7564	106.05423291550994	62.03777637725244	VIVO4-FEC-AUG11-F9-bin_5	4305638	426483	99.05221943879165	59458	0.006498215693166962	2513	0.008183356329168357	1.2593235921321237	0.626313844644219	0.013065903618683308	2.0106909705109413
VIVO4-FEC-AUG11-F9-k141_22416	45111	11740	260.2469464210503	73.18106428830326	VIVO4-FEC-AUG11-F9-bin_2	6943338	2322755	334.5300199990264	181483	0.007582413435457545	1708	0.005453020178777764	0.7191668227002598	0.21875783909771757	0.024927198957848264	3.2875019504055945
VIVO4-FEC-AUG11-F9-k141_3732	38712	50156	1295.6189295308948	727.5321140985875	VIVO4-FEC-AUG11-F9-bin_1	8350324	35496127	4250.8682297836585	5798131	0.1676651902756774	17339	0.05363831305576849	0.31991323283965883	0.17114906291405182	0.31340114951552345	1.8692082059503528
VIVO4-FEC-AUG11-F9-k141_24279	24518	231	9.421649400440492	4.93095669555764	VIVO4-FEC-AUG11-F9-bin_7	3923951	48594	12.383946690465809	5430	0.000718197873367554	56	0.0005820756218129647	0.8104669247817089	0.3981732818144235	0.00146186509340989	2.035462854485156
VIVO4-FEC-AUG2-F5-k141_36879	7741	155	20.023252809714506	5.134167387106284	VIVO4-FEC-AUG2-F5-bin_44	351402	6976	19.851907501949334	105	0.0017224186726183118	10	0.003676196384531292	2.134322184828019	0.258623378463865	0.01421447823613878	8.252626647695841
VIVO4-FEC-AUG2-F5-k141_24393	8904	12299	1381.2893081761006	775.1713132450952	VIVO4-FEC-AUG2-F5-bin_1	34453049	62240344	1806.5264412447211	7990478	0.013490996316243559	2256	0.007354044985603357	0.5451076268361936	0.42909491693406476	0.01713850408238089	1.2703660782818258
VIVO4-FEC-AUG2-F5-k141_30342	24796	3229	130.22261655105663	103.28000623014837	VIVO4-FEC-AUG2-F5-bin_18	3681539	349341	94.88993597514518	59069	0.008866677403107303	1104	0.012093667950094894	1.3639458615982467	1.0884189684478325	0.011111224905737701	1.2531441486575121
VIVO4-FEC-AUG2-F5-k141_88933	6138	8279	1348.810687520365	881.859077585662	VIVO4-FEC-AUG2-F5-bin_1	34453049	62240344	1806.5264412447211	7990478	0.013490996316243559	2440	0.011538126083705247	0.8552464038414272	0.488151768749119	0.023636350050050027	1.7520092286728417
VIVO4-FEC-AUG2-F5-k141_72005	29053	3123	107.49320207895914	54.66563728271323	VIVO4-FEC-AUG2-F5-bin_24	3148913	463863	147.30892850961587	60918	0.012338344186655218	803	0.008777359761052142	0.7113887915807593	0.37109520675893604	0.023652581874370388	1.9169980604003825
VIVO4-FEC-AUG2-F5-k141_25564	27978	364	13.010222317535206	7.415826720995066	VIVO4-FEC-AUG2-F5-bin_30	2634408	38090	14.45865636606023	6822	0.001995443189990607	114	0.0015466966644805233	0.7751143566697101	0.5128987461381772	0.0030155984512074364	1.5112424479604611
VIVO4-FEC-AUG2-F5-k141_17852	34641	6850	197.74255939493665	156.35549937791978	VIVO4-FEC-AUG2-F5-bin_2	7077875	1269922	179.42136587605742	349117	0.014073296906194207	3963	0.016163327153965498	1.148510349898991	0.8714430336347383	0.018547772522260232	1.3179408240933674
VIVO4-FEC-AUG2-F5-k141_21391	36483	2574	70.55340843680618	25.936639965058077	VIVO4-FEC-AUG2-F5-bin_16	4133139	683162	165.28890027652108	30320	0.00359669325884482	361	0.002394068914248713	0.6656305506068193	0.15691700968224254	0.015256911402382127	4.24192732167611
VIVO4-FEC-AUG2-F5-k141_8278	9167	452	49.3072979164394	24.145326299287337	VIVO4-FEC-AUG2-F5-bin_21	3548466	292157	82.33332375172822	31204	0.005013645992373358	95	0.002920490013948482	0.5825082222380806	0.29326310658969984	0.009958600138661483	1.9862990234672084
VIVO4-FEC-AUG2-F5-k141_68349	6713	1373	204.52852673916283	91.18412115724665	VIVO4-FEC-AUG2-F5-bin_16	4133139	683162	165.28890027652108	30320	0.00359669325884482	251	0.009046426586951635	2.515206590026849	0.5516651209167682	0.01639840229869545	4.559299645130778
VIVO4-FEC-AUG2-F5-k141_50668	8120	860	105.91133004926108	85.79638752052544	VIVO4-FEC-AUG2-F5-bin_8	5068554	553005	109.1050820411502	127866	0.010027988911731511	418	0.010156315294720204	1.0127968213884408	0.7863647221141026	0.012915527628726088	1.2879479367609303
VIVO4-FEC-AUG2-F5-k141_66820	22026	321	14.573685644238626	5.868598246002131	VIVO4-FEC-AUG2-F5-bin_3	6898128	86305	12.511365402323644	5334	0.00022567582248870252	60	0.00039489748399079754	1.7498440002830449	0.4690613739817877	0.0008418887290560196	3.730522480307633
VIVO4-FEC-AUG2-F5-k141_72107	19310	232	12.014500258933195	6.583287813114079	VIVO4-FEC-AUG2-F5-bin_13	4470114	53528	11.974638678118724	8529	0.0008568273971445742	40	0.0004634032961765704	0.5408362264335712	0.549769223946918	0.0008429051245351513	0.9837513685302085
VIVO4-FEC-AUG2-F5-k141_25860	7840	112	14.285714285714286	2.5641025641025643	VIVO4-FEC-AUG2-F5-bin_7	5748305	77349	13.455966584932428	7534	0.0004571053534978468	7	0.00015532529029986108	0.3398019496190231	0.19055506328127825	0.0008151202472672452	1.7832218350317022
VIVO4-FEC-AUG2-F5-k141_80950	21225	1868	88.00942285041225	18.3784383011155	VIVO4-FEC-AUG2-F5-bin_15	4370200	750830	171.80678229829297	25334	0.0026671870223518453	142	0.001530873596791289	0.5739655989482922	0.10697155289950451	0.014311034618984015	5.365590976205701
VIVO4-FEC-AUG2-F5-k141_8483	10474	22651	2162.5930876455986	1466.2177927080388	VIVO4-FEC-AUG2-F5-bin_1	34453049	62240344	1806.5264412447211	7990478	0.013490996316243559	5628	0.015596022655288255	1.1560319408367328	0.8116226583972914	0.019215854182885517	1.424346559175104
VIVO4-FEC-AUG2-F5-k141_8483	10474	22651	2162.5930876455986	9.899835842733737	VIVO4-FEC-AUG2-F5-bin_30	2634408	38090	14.45865636606023	6822	0.001995443189990607	38	0.0013771713856163222	0.6901581525970704	0.6846995731894066	0.0020113513131040893	1.0079722255152537
VIVO4-FEC-AUG2-F5-k141_27906	5617	1092	194.40982730995194	159.45436574929556	VIVO4-FEC-AUG2-F5-bin_2	7077875	1269922	179.42136587605742	349117	0.014073296906194207	666	0.01675200974046361	1.1903401066661499	0.8887144792969925	0.01884970947442546	1.339395423834835
VIVO4-FEC-AUG2-F5-k141_46037	7799	127	16.284138992178484	7.639472613614597	VIVO4-FEC-AUG2-F5-bin_9	4888570	120617	24.673268460920063	21944	0.0018418768250254508	38	0.0009966962815233884	0.5411308009207489	0.309625480941641	0.0032190382990838155	1.7476946641311562
VIVO4-FEC-AUG2-F5-k141_25379	12556	77	6.132526282255496	2.515908218361229	VIVO4-FEC-AUG2-F5-bin_3	6898128	86305	12.511365402323644	5334	0.00022567582248870252	16	0.0001847299985639016	0.8185635329772613	0.20108982013217902	0.0009186442080582504	4.070636357619737
VIVO4-FEC-AUG2-F5-k141_5120	6045	63	10.421836228287841	6.582212354708109	VIVO4-FEC-AUG2-F5-bin_7	5748305	77349	13.455966584932428	7534	0.0004571053534978468	12	0.0003453386106915025	0.7554901907162399	0.4891668177950639	0.0007059730916502638	1.5444428428764603
VIVO4-FEC-AUG2-F5-k141_5549	8337	852	102.19503418495862	33.90004765941727	VIVO4-FEC-AUG2-F5-bin_28	2840586	296975	104.54708993144372	23211	0.005813945760101888	137	0.005784992808309339	0.9950200856720683	0.32425625315489004	0.01784080569618491	3.0686226587487555
VIVO4-FEC-AUG2-F5-k141_39846	6741	2508	372.051624388073	74.4103248776146	VIVO4-FEC-AUG2-F5-bin_45	296087	55982	189.07280630355268	1594	0.0365948121727441	126	0.06312870468830692	1.7250725154787192	0.39355381840659986	0.16040678996305796	4.3833204883212735
VIVO4-FEC-AUG2-F5-k141_38226	8346	219	26.240115025161753	4.685734825921742	VIVO4-FEC-AUG2-F5-bin_47	263087	4378	16.64088305389472	60	0.001760492706572763	10	0.004554306249538085	2.5869497968010187	0.28157969806927213	0.016174128606451125	9.187273850136016
VIVO4-FEC-AUG2-F5-k141_32262	5385	4457	827.669452181987	415.0342470361848	VIVO4-FEC-AUG2-F5-bin_1	34453049	62240344	1806.5264412447211	7990478	0.013490996316243559	692	0.0037298616670497662	0.27647043847746827	0.2297415844908534	0.016235030655489632	1.203397456712828
VIVO4-FEC-AUG2-F5-k141_58644	6226	709	113.87728878894957	59.636485400696785	VIVO4-FEC-AUG2-F5-bin_35	2087171	310242	148.64234890193472	59700	0.027580867270852745	210	0.016160401501376837	0.5859279674811034	0.40120790502336146	0.04027936962118394	1.4604098277848891
VIVO4-FEC-AUG2-F5-k141_91777	8077	859	106.35136808220874	57.65248700965731	VIVO4-FEC-AUG2-F5-bin_35	2087171	310242	148.64234890193472	59700	0.027580867270852745	264	0.015660146196052906	0.5677902018912375	0.38786044108932205	0.040375724196235994	1.4639033573431086
VIVO4-FEC-AUG2-F5-k141_93348	17257	1480	85.76229935678275	32.7951072576442	VIVO4-FEC-AUG2-F5-bin_28	2840586	296975	104.54708993144372	23211	0.005813945760101888	265	0.005405957568202246	0.9298259377135139	0.3136874233338244	0.017233580839003726	2.964179844481678
VIVO4-FEC-AUG2-F5-k141_60628	25746	2207	85.72205391128719	28.233482544995997	VIVO4-FEC-AUG2-F5-bin_27	2883891	267340	92.70114577839453	27992	0.006906192046820301	304	0.004094350113178153	0.5928520500763143	0.30456454780493397	0.01344329188241726	1.9465563354275275
VIVO4-FEC-AUG2-F5-k141_10540	71799	56899	792.4762183317316	527.7334158353717	VIVO4-FEC-AUG2-F5-bin_1	34453049	62240344	1806.5264412447211	7990478	0.013490996316243559	16264	0.006574781254970875	0.487345863926643	0.292126040221009	0.022506659283084453	1.668272583840659
VIVO4-FEC-AUG2-F5-k141_77185	35528	4040	113.71312767394731	45.9505733311603	VIVO4-FEC-AUG2-F5-bin_16	4133139	683162	165.28890027652108	30320	0.00359669325884482	632	0.004303940977883826	1.196638319739882	0.2780015672818139	0.015481714797387683	4.304430120449046
VIVO4-FEC-AUG2-F5-k141_26288	7422	11684	1574.2387496631636	1.951938933246328	VIVO4-FEC-AUG2-F5-bin_12	4591164	18486	4.026429898823044	454	4.37762724461085e-05	6	0.00017607897198802387	4.022246805156579	0.4847815514724085	0.00036321302131491173	8.297029441281257
VIVO4-FEC-AUG2-F5-k141_26288	7422	11684	1574.2387496631636	1060.8788102193794	VIVO4-FEC-AUG2-F5-bin_1	34453049	62240344	1806.5264412447211	7990478	0.013490996316243559	3261	0.012752701283386217	0.9452749807685876	0.587247873044371	0.02171604507867269	1.6096694839747252
VIVO4-FEC-AUG2-F5-k141_3550	5348	504	94.24083769633508	64.5374218035074	VIVO4-FEC-AUG2-F5-bin_8	5068554	553005	109.1050820411502	127866	0.010027988911731511	239	0.008817032153574204	0.8792423118118293	0.5915161841789037	0.014905817269925278	1.4864213952697245
VIVO4-FEC-AUG2-F5-k141_37816	29043	30251	1041.59349929415	484.36983017730034	VIVO4-FEC-AUG2-F5-bin_1	34453049	62240344	1806.5264412447211	7990478	0.013490996316243559	4029	0.004026503961710292	0.29845860656431	0.26812219246764135	0.01501742144002584	1.11314398788653
VIVO4-FEC-AUG2-F5-k141_71228	46910	38479	820.2728629290131	355.6452171991089	VIVO4-FEC-AUG2-F5-bin_1	34453049	62240344	1806.5264412447211	7990478	0.013490996316243559	3061	0.00189395752415121	0.14038677943087338	0.19686687616598877	0.009620498689451014	0.7131051305579001
VIVO4-FEC-AUG2-F5-k141_36889	25481	3496	137.20026686550764	89.76931580210434	VIVO4-FEC-AUG2-F5-bin_24	3148913	463863	147.30892850961587	60918	0.012338344186655218	899	0.011204244101442188	0.9080832834571402	0.6093949410286049	0.018385850205008943	1.490139189413643
VIVO4-FEC-AUG2-F5-k141_71617	5513	912	165.42717213858154	106.34603923194528	VIVO4-FEC-AUG2-F5-bin_16	4133139	683162	165.28890027652108	30320	0.00359669325884482	288	0.012639342548777082	3.5141563761922154	0.6433949227929584	0.019644765758968175	5.461896343442323
VIVO4-FEC-AUG2-F5-k141_54321	19143	1607	83.9471347228752	68.83665047275767	VIVO4-FEC-AUG2-F5-bin_8	5068554	553005	109.1050820411502	127866	0.010027988911731511	861	0.0088737885181815	0.884902107121425	0.6309206609348881	0.014064824735700466	1.402556869528082
VIVO4-FEC-AUG2-F5-k141_8988	13999	6253	446.6747624830345	229.916050326426	VIVO4-FEC-AUG2-F5-bin_31	2492417	1001415	401.7846933318141	90864	0.029873171300588062	1363	0.03906412828813602	1.3076659285707317	0.572236957112126	0.06826565079836615	2.285182584449021
VIVO4-FEC-AUG2-F5-k141_37921	7622	3625	475.59695617948046	210.21164768489797	VIVO4-FEC-AUG2-F5-bin_31	2492417	1001415	401.7846933318141	90864	0.029873171300588062	762	0.04011116926579097	1.342715470754234	0.5231947636972187	0.07666584616088389	2.5663778843384697
VIVO4-FEC-AUG2-F5-k141_20603	11779	1345	114.18626368961712	58.82743111105426	VIVO4-FEC-AUG2-F5-bin_35	2087171	310242	148.64234890193472	59700	0.027580867270852745	424	0.017246437660635192	0.6253044000128705	0.3957649454925195	0.043577476623586346	1.5799893526059892
