Virus,AAI to closest RaFAH reference,Host genus,Confidence score,List of methods
VIVO4-FEC-AUG11-F9-k141_2017,9.90,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,90.70,blast;93.10 iPHoP-RF;79.80 RaFAH;50.00
VIVO4-FEC-AUG11-F9-k141_2041,36.64,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,99.40,CRISPR;97.90 RaFAH;88.00 iPHoP-RF;71.90
VIVO4-FEC-AUG11-F9-k141_2041,36.64,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,92.70,blast;94.80 iPHoP-RF;77.10
VIVO4-FEC-AUG11-F9-k141_2109,17.46,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,91.00,blast;93.40 iPHoP-RF;73.70
VIVO4-FEC-AUG11-F9-k141_21194,34.36,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia,98.50,blast;94.80 RaFAH;89.40 CRISPR;82.60 iPHoP-RF;70.60
VIVO4-FEC-AUG11-F9-k141_21523,20.94,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,91.50,blast;93.80 iPHoP-RF;69.50
VIVO4-FEC-AUG11-F9-k141_21613,16.37,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,92.20,blast;94.40 iPHoP-RF;65.60
VIVO4-FEC-AUG11-F9-k141_22416,85.94,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.50 iPHoP-RF;96.10 blast;96.00
VIVO4-FEC-AUG11-F9-k141_23964,93.16,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,94.20,blast;95.90 iPHoP-RF;70.90
VIVO4-FEC-AUG11-F9-k141_24026,15.42,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,93.90,blast;95.70 iPHoP-RF;69.50
VIVO4-FEC-AUG11-F9-k141_24111,21.18,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,92.00,blast;94.20 iPHoP-RF;84.20
VIVO4-FEC-AUG11-F9-k141_24203,46.54,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella,95.90,blast;96.60 iPHoP-RF;90.50 RaFAH;57.90
VIVO4-FEC-AUG11-F9-k141_24203,46.54,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A,91.10,blast;93.50 iPHoP-RF;61.70
VIVO4-FEC-AUG11-F9-k141_24279,60.50,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,96.30,blast;97.40 iPHoP-RF;96.10
VIVO4-FEC-AUG11-F9-k141_24304,85.28,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,99.60,blast;96.60 RaFAH;94.60 iPHoP-RF;87.60 CRISPR;70.40
VIVO4-FEC-AUG11-F9-k141_24497,35.86,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,92.50,CRISPR;94.60 blast;92.70 iPHoP-RF;88.90
VIVO4-FEC-AUG11-F9-k141_2539,69.53,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella,90.40,blast;92.90 iPHoP-RF;84.20
VIVO4-FEC-AUG11-F9-k141_378,60.23,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia,91.10,blast;93.50 iPHoP-RF;76.60
VIVO4-FEC-AUG11-F9-k141_387,99.19,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,99.70,blast;96.90 RaFAH;95.90 iPHoP-RF;87.90
VIVO4-FEC-AUG11-F9-k141_4576,92.05,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,100.00,RaFAH;98.60 iPHoP-RF;97.10 blast;96.90 CRISPR;80.20
VIVO4-FEC-AUG11-F9-k141_4713,12.04,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,92.50,blast;94.60 iPHoP-RF;60.90
VIVO4-FEC-AUG11-F9-k141_578,89.58,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,97.00,blast;97.90 iPHoP-RF;77.30
VIVO4-FEC-AUG11-F9-k141_6489,11.82,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,95.20,blast;96.60 iPHoP-RF;74.10
VIVO4-FEC-AUG11-F9-k141_692,46.05,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,90.90,blast;93.30 iPHoP-RF;85.10
VIVO4-FEC-AUG11-F9-k141_7543,28.18,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,93.00,blast;95.00 iPHoP-RF;88.20
VIVO4-FEC-AUG11-F9-k141_7543,28.18,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A,93.00,blast;95.00 iPHoP-RF;73.90
VIVO4-FEC-AUG11-F9-k141_7543,28.18,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter,91.70,blast;94.00 iPHoP-RF;76.40
VIVO4-FEC-AUG11-F9-k141_7543,28.18,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_A,91.00,blast;93.40 iPHoP-RF;87.90
VIVO4-FEC-AUG11-F9-k141_7981,47.88,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,95.40,blast;96.80 iPHoP-RF;81.90 CRISPR;66.60
VIVO4-FEC-AUG11-F9-k141_8295,35.67,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,96.40,blast;97.50 iPHoP-RF;88.90
VIVO4-FEC-AUG11-F9-k141_8824,91.49,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,94.20,blast;95.90 iPHoP-RF;88.50 CRISPR;56.40
VIVO4-FEC-AUG11-F9-k141_9001,2.76,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia,91.40,blast;93.70 iPHoP-RF;86.70
VIVO4-FEC-AUG11-F9-k141_9622,65.57,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,100.00,RaFAH;99.40 iPHoP-RF;97.10 blast;96.90 CRISPR;96.50
VIVO4-FEC-AUG2-F5-k141_10492,67.45,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,99.70,blast;98.30 CRISPR;97.70 iPHoP-RF;93.10 RaFAH;90.70
VIVO4-FEC-AUG2-F5-k141_10492,67.45,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,98.10,iPHoP-RF;92.40 RaFAH;90.70
VIVO4-FEC-AUG2-F5-k141_10540,88.09,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella,96.40,CRISPR;97.50 blast;96.70 iPHoP-RF;88.90
VIVO4-FEC-AUG2-F5-k141_11440,92.10,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,94.20,blast;95.90 iPHoP-RF;70.00
VIVO4-FEC-AUG2-F5-k141_12661,96.01,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,99.70,blast;97.90 iPHoP-RF;95.40 RaFAH;92.40
VIVO4-FEC-AUG2-F5-k141_12661,96.01,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,97.20,RaFAH;92.40 iPHoP-RF;87.00
VIVO4-FEC-AUG2-F5-k141_13307,32.28,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,93.80,blast;95.60 iPHoP-RF;93.70
VIVO4-FEC-AUG2-F5-k141_1345,12.49,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Barb7,93.50,iPHoP-RF;95.40
VIVO4-FEC-AUG2-F5-k141_1345,12.49,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Macellibacteroides,92.60,iPHoP-RF;94.70
VIVO4-FEC-AUG2-F5-k141_1345,12.49,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,92.20,iPHoP-RF;94.40
VIVO4-FEC-AUG2-F5-k141_1345,12.49,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__,91.00,iPHoP-RF;93.40
VIVO4-FEC-AUG2-F5-k141_15158,22.46,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Extibacter,94.50,iPHoP-RF;96.10 blast;95.70 CRISPR;67.70
VIVO4-FEC-AUG2-F5-k141_15158,22.46,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Muricomes,93.50,iPHoP-RF;95.40
VIVO4-FEC-AUG2-F5-k141_17852,32.93,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,97.30,CRISPR;98.10 iPHoP-RF;96.70 blast;92.40
VIVO4-FEC-AUG2-F5-k141_17852,32.93,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,95.30,CRISPR;96.70 blast;91.30 iPHoP-RF;85.10
VIVO4-FEC-AUG2-F5-k141_19317,56.67,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,99.90,CRISPR;97.80 iPHoP-RF;96.70 RaFAH;96.30 blast;90.80
VIVO4-FEC-AUG2-F5-k141_19317,56.67,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,95.00,CRISPR;96.50 iPHoP-RF;94.70 blast;93.90
VIVO4-FEC-AUG2-F5-k141_19340,15.84,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella,93.10,blast;95.10 iPHoP-RF;75.70
VIVO4-FEC-AUG2-F5-k141_19569,39.65,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,90.10,blast;92.60 iPHoP-RF;92.40 CRISPR;89.50
VIVO4-FEC-AUG2-F5-k141_19799,66.13,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter,91.20,blast;93.60 iPHoP-RF;72.80
VIVO4-FEC-AUG2-F5-k141_21391,31.43,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,96.00,blast;97.20 iPHoP-RF;76.10
VIVO4-FEC-AUG2-F5-k141_22827,26.12,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,94.20,blast;95.90 iPHoP-RF;75.90
VIVO4-FEC-AUG2-F5-k141_24393,49.77,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,99.90,blast;97.70 iPHoP-RF;97.10 RaFAH;94.90
VIVO4-FEC-AUG2-F5-k141_24541,11.03,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella,95.00,blast;96.50 iPHoP-RF;78.70
VIVO4-FEC-AUG2-F5-k141_24586,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.60 iPHoP-RF;97.10 blast;90.70
VIVO4-FEC-AUG2-F5-k141_24586,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,95.40,blast;96.80 iPHoP-RF;95.40 CRISPR;75.90
VIVO4-FEC-AUG2-F5-k141_25564,79.54,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81,93.00,blast;95.00 iPHoP-RF;87.00 CRISPR;52.50
VIVO4-FEC-AUG2-F5-k141_25803,14.61,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA3818,92.70,blast;94.80 iPHoP-RF;79.30
VIVO4-FEC-AUG2-F5-k141_28082,98.16,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.60,blast;93.90 iPHoP-RF;58.70
VIVO4-FEC-AUG2-F5-k141_28082,98.16,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter,91.50,blast;93.80 iPHoP-RF;74.30
VIVO4-FEC-AUG2-F5-k141_28094,42.43,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,98.20,blast;95.80 RaFAH;84.40 iPHoP-RF;80.00
VIVO4-FEC-AUG2-F5-k141_29564,41.44,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.00,iPHoP-RF;93.40 blast;92.90
VIVO4-FEC-AUG2-F5-k141_30342,99.13,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,97.30,blast;92.20 RaFAH;87.90 iPHoP-RF;79.50
VIVO4-FEC-AUG2-F5-k141_30342,99.13,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter,95.40,blast;96.80
VIVO4-FEC-AUG2-F5-k141_30342,99.13,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__,95.00,blast;96.50
VIVO4-FEC-AUG2-F5-k141_30342,99.13,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter,94.90,blast;96.40 iPHoP-RF;61.70
VIVO4-FEC-AUG2-F5-k141_30342,99.13,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter_A,94.90,blast;96.40
VIVO4-FEC-AUG2-F5-k141_30342,99.13,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter_B,93.60,blast;95.50
VIVO4-FEC-AUG2-F5-k141_30342,99.13,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_C,93.20,blast;95.20
VIVO4-FEC-AUG2-F5-k141_30635,45.98,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,95.20,blast;96.60
VIVO4-FEC-AUG2-F5-k141_30732,81.87,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,99.70,iPHoP-RF;96.70 RaFAH;94.90 blast;93.70
VIVO4-FEC-AUG2-F5-k141_30732,81.87,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,90.30,iPHoP-RF;92.80 blast;88.20
VIVO4-FEC-AUG2-F5-k141_31704,8.42,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora,95.30,iPHoP-RF;96.70
VIVO4-FEC-AUG2-F5-k141_31704,8.42,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,94.50,iPHoP-RF;96.10 blast;91.80
VIVO4-FEC-AUG2-F5-k141_32029,24.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q,90.00,blast;92.50 iPHoP-RF;71.50
VIVO4-FEC-AUG2-F5-k141_32262,98.59,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,96.30,blast;96.20 iPHoP-RF;92.80 RaFAH;65.60
VIVO4-FEC-AUG2-F5-k141_33213,98.98,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,99.70,CRISPR;98.00 iPHoP-RF;95.40 blast;93.70 RaFAH;92.20
VIVO4-FEC-AUG2-F5-k141_33420,25.68,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,94.60,blast;96.20 iPHoP-RF;62.50
VIVO4-FEC-AUG2-F5-k141_33770,5.02,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,94.20,blast;86.00 RaFAH;85.40 iPHoP-RF;82.80
VIVO4-FEC-AUG2-F5-k141_35082,93.11,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,91.20,blast;93.60 iPHoP-RF;80.00
VIVO4-FEC-AUG2-F5-k141_35096,24.56,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,94.30,blast;96.00 iPHoP-RF;87.30
VIVO4-FEC-AUG2-F5-k141_35470,13.67,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,94.20,blast;95.90 iPHoP-RF;75.40
VIVO4-FEC-AUG2-F5-k141_3550,17.80,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,90.00,blast;92.50
VIVO4-FEC-AUG2-F5-k141_36306,99.94,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,99.90,iPHoP-RF;97.10 RaFAH;97.00 blast;96.90
VIVO4-FEC-AUG2-F5-k141_36873,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.30 blast;91.80 iPHoP-RF;71.30
VIVO4-FEC-AUG2-F5-k141_36879,34.15,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter,90.00,blast;92.50 iPHoP-RF;66.50
VIVO4-FEC-AUG2-F5-k141_36889,99.89,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83,91.40,RaFAH;93.70
VIVO4-FEC-AUG2-F5-k141_36889,99.89,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter,91.40,RaFAH;93.70
VIVO4-FEC-AUG2-F5-k141_37245,85.05,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.10 CRISPR;99.00 blast;98.50 iPHoP-RF;97.10
VIVO4-FEC-AUG2-F5-k141_37245,85.05,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,93.10,iPHoP-RF;95.10 blast;90.90
VIVO4-FEC-AUG2-F5-k141_37816,99.99,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,99.90,blast;97.10 iPHoP-RF;96.40 RaFAH;96.20
VIVO4-FEC-AUG2-F5-k141_37816,99.99,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,97.80,RaFAH;96.20 iPHoP-RF;78.50
